complemento/valorTotal,dets/0/prod/qCom,dets/0/prod/uCom,dets/0/prod/vProd,dets/0/prod/vUnCom,dets/0/prod/xProd,dets/1/prod/qCom,dets/1/prod/uCom,dets/1/prod/vProd,dets/1/prod/vUnCom,dets/1/prod/xProd,ide/dhEmi/$date,infAdic/infCpl,total/icmsTot/vDesc,total/icmsTot/vProd,total/icmsTot/vTotTrib,total/icmsTot/vnf,dets/2/prod/qCom,dets/2/prod/vProd,dets/2/prod/vUnCom,dets/2/prod/xProd,dets/3/prod/qCom,dets/3/prod/vProd,dets/3/prod/vUnCom,dets/3/prod/xProd,dets/4/prod/qCom,dets/4/prod/vProd
48.15,702,KG,48.15,68.6,BUFFET,,,,,,2016-01-09T12:35:58.000Z,Mesa 7,0,48.15,2.02,48.15,,,,,,,,,,
49.87,1,UN,3.5,3.5,AGUA,676,KG,46.37,68.6,BUFFET,2016-01-09T12:37:06.000Z,Mesa 10,0,49.87,3.58,49.87,,,,,,,,,,
90.17,1,UN,3.5,3.5,AGUA,1198,KG,82.18,68.6,BUFFET,2016-01-09T12:43:43.000Z,Mesa 14,0,90.18,7.18,90.18,1,4.5,4.5,REFRIGERANTE,,,,,,
55.77,2,UN,7,3.5,AGUA,0.71,KG,48.77,68.6,BUFFET,2016-01-09T12:44:37.000Z,Mesa 15,0,55.77,4.64,36.01,,,,,,,,,,
92.49,1,UN,3.5,3.5,AGUA,1232,KG,84.51,68.6,BUFFET,2016-01-09T12:45:37.000Z,Mesa 9,0,92.51,7.28,92.51,1,4.5,4.5,REFRIGERANTE,,,,,,
36.08,526,KG,36.08,68.6,BUFFET,,,,,,2016-01-09T12:46:39.000Z,Mesa 18,0,36.08,1.52,36.08,,,,,,,,,,
45.34,1,UN,3.5,3.5,AGUA,0.61,KG,41.84,68.6,BUFFET,2016-01-09T12:48:05.000Z,Mesa 3,0,45.34,3.39,45.34,,,,,,,,,,
67.85,0.86,KG,58.85,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-09T12:48:12.000Z,Mesa 13,0,67.85,5.82,43.73,,,,,,,,,,
78.16,1074,KG,73.67,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T12:51:20.000Z,Mesa 16,0,78.17,5.19,78.17,,,,,,,,,,
23.04,336,KG,23.04,68.6,BUFFET,,,,,,2016-01-09T12:52:38.000Z,Mesa 21,0,23.04,0.97,23.04,,,,,,,,,,
25.38,0.37,KG,25.38,68.6,BUFFET,,,,,,2016-01-09T12:52:47.000Z,Mesa 19,0,25.38,1.07,25.38,,,,,,,,,,
67.9,0.99,KG,67.91,68.6,BUFFET,,,,,,2016-01-09T12:55:05.000Z,Mesa 22,0,67.91,2.85,67.91,,,,,,,,,,
33.17,418,KG,28.67,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T12:56:01.000Z,Mesa 26,0,33.17,3.3,33.17,,,,,,,,,,
36.74,0.47,KG,32.24,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T12:56:48.000Z,Mesa 27,0,36.74,3.45,36.74,,,,,,,,,,
57.07,832,KG,57.07,68.6,BUFFET,,,,,,2016-01-09T12:59:16.000Z,Mesa 24,0,57.07,2.4,57.07,,,,,,,,,,
30.45,444,KG,30.45,68.6,BUFFET,,,,,,2016-01-09T12:59:24.000Z,Mesa 23,0,30.45,1.28,30.45,,,,,,,,,,
49.44,1,UN,3.5,3.5,AGUA,0.67,KG,45.96,68.6,BUFFET,2016-01-09T13:05:11.000Z,Mesa 28,0,49.46,3.56,49.46,,,,,,,,,,
13.58,198,KG,13.58,68.6,BUFFET,,,,,,2016-01-09T13:05:28.000Z,Mesa 63,0,13.58,0.57,13.58,,,,,,,,,,
34.13,432,KG,29.63,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:09:17.000Z,Mesa 57,0,34.13,3.34,34.13,,,,,,,,,,
42.61,0.49,KG,33.61,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:09:47.000Z,Mesa 46,0,42.61,5.61,42.61,1,4.5,4.5,REFRIGERANTE,,,,,,
30.25,1,UN,3.5,3.5,AGUA,0.39,KG,26.75,68.6,BUFFET,2016-01-09T13:11:30.000Z,Mesa 53,0,30.25,2.75,30.25,,,,,,,,,,
27.51,1,UN,3.5,3.5,AGUA,0.35,KG,24.01,68.6,BUFFET,2016-01-09T13:12:19.000Z,Mesa 55,0,27.51,2.64,27.51,,,,,,,,,,
31.94,0.4,KG,27.44,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:13:08.000Z,Mesa 30,0,31.94,3.25,31.94,,,,,,,,,,
30.45,444,KG,30.45,68.6,BUFFET,,,,,,2016-01-09T13:13:48.000Z,Mesa 29,0,30.45,1.28,30.45,,,,,,,,,,
68.24,2,UN,9,4.5,SUCO,798,KG,54.74,68.6,BUFFET,2016-01-09T13:14:37.000Z,Mesa 60,0,68.24,4.78,68.24,1,4.5,4.5,REFRIGERANTE,,,,,,
47.81,1,UN,3.5,3.5,AGUA,646,KG,44.31,68.6,BUFFET,2016-01-09T13:15:28.000Z,Mesa 56,0,47.81,3.49,47.81,,,,,,,,,,
41.67,542,KG,37.18,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:17:53.000Z,Mesa 47,0,41.68,3.66,41.68,,,,,,,,,,
69.52,948,KG,65.03,68.6,BUFFET,1,UN,4.5,4.5,SUCO,2016-01-09T13:21:05.000Z,Mesa 64,0,69.53,2.92,69.53,,,,,,,,,,
58.82,792,KG,54.33,68.6,BUFFET,1,UN,4.5,4.5,SUCO,2016-01-09T13:21:57.000Z,Mesa 61,0,58.83,2.47,58.83,,,,,,,,,,
98.12,1,UN,3.5,3.5,AGUA,1314,KG,90.14,68.6,BUFFET,2016-01-09T13:27:05.000Z,Mesa 35,0,98.14,7.52,98.14,1,4.5,4.5,REFRIGERANTE,,,,,,
27,328,KG,22.5,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:29:57.000Z,Mesa 44,0,27,3.05,27,,,,,,,,,,
21.37,246,KG,16.87,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:31:08.000Z,Mesa 70,0,21.37,2.81,21.37,,,,,,,,,,
32.79,478,KG,32.79,68.6,BUFFET,,,,,,2016-01-09T13:31:15.000Z,Mesa 71,0,32.79,1.38,32.79,,,,,,,,,,
27.29,398,KG,27.3,68.6,BUFFET,,,,,,2016-01-09T13:31:23.000Z,Mesa 43,0,27.3,1.15,27.3,,,,,,,,,,
118.84,1,UN,4.9,4.9,SUCO,1.53,KG,104.95,68.6,BUFFET,2016-01-09T13:32:08.000Z,Mesa 25,0,118.85,10.9,118.85,1,4.5,4.5,REFRIGERANTE,1,4.5,4.5,REFRIGERANTE,,
190.95,1,UN,4.5,4.5,SUCO,1,UN,4.9,4.9,SUCO,2016-01-09T13:33:52.000Z,Mesa 37,0,190.96,12.87,190.96,2552,175.06,68.6,BUFFET,1,6.5,6.5,CERVEJA LATA,,
27.02,394,KG,27.02,68.6,BUFFET,,,,,,2016-01-09T13:34:09.000Z,Mesa 42,0,27.02,1.14,27.02,,,,,,,,,,
93.43,2,UN,7,3.5,AGUA,1.26,KG,86.43,68.6,BUFFET,2016-01-09T13:36:18.000Z,Mesa 72,0,93.43,6.9,93.43,,,,,,,,,,
37.03,0.54,KG,37.04,68.6,BUFFET,,,,,,2016-01-09T13:37:01.000Z,Mesa 80,0,37.04,1.56,37.04,,,,,,,,,,
104.44,1,UN,3.5,3.5,AGUA,1406,KG,96.45,68.6,BUFFET,2016-01-09T13:41:20.000Z,Mesa 81,0,104.45,7.78,104.45,1,4.5,4.5,REFRIGERANTE,,,,,,
33.6,0.49,KG,33.61,68.6,BUFFET,,,,,,2016-01-09T13:46:38.000Z,Mesa 85,0,33.61,1.41,33.61,,,,,,,,,,
58.32,1,UN,1,1,CHA,0.77,KG,52.82,68.6,BUFFET,2016-01-09T13:47:26.000Z,Mesa 82,0,58.32,4.79,58.32,1,4.5,4.5,REFRIGERANTE,,,,,,
100.91,1.34,KG,91.92,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T13:48:14.000Z,Mesa 92,0,100.92,8.06,100.92,1,4.5,4.5,REFRIGERANTE,,,,,,
91.35,1,UN,4.5,4.5,LIMONADA,1,UN,5.5,5.5,REFRIGERANTE,2016-01-09T13:49:12.000Z,Mesa 76,0,91.35,6.18,91.35,1186,81.35,68.6,BUFFET,,,,,,
56.66,826,KG,56.66,68.6,BUFFET,,,,,,2016-01-09T13:52:19.000Z,Mesa 93,0,56.66,2.38,56.66,,,,,,,,,,
94.5,1,UN,3.5,3.5,AGUA,2,UN,2,1,CHA,2016-01-09T13:58:39.000Z,Mesa 66,0,94.51,8.21,94.51,1232,84.51,68.6,BUFFET,1,4.5,4.5,REFRIGERANTE,,
73.37,1,UN,4.5,4.5,SUCO,1004,KG,68.87,68.6,BUFFET,2016-01-09T13:59:36.000Z,Mesa 98,0,73.37,3.08,73.37,,,,,,,,,,
49.45,1,UN,3.5,3.5,AGUA,0.67,KG,45.96,68.6,BUFFET,2016-01-09T14:00:32.000Z,Mesa 88,0,49.46,3.56,49.46,,,,,,,,,,
46.75,616,KG,42.25,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-09T14:01:03.000Z,Mesa 87,0,46.75,3.87,46.75,,,,,,,,,,
73.48,1,UN,3.5,3.5,AGUA,1,UN,3.5,3.5,CAFE EXPRESSO,2016-01-09T14:05:14.000Z,Mesa 89,0,73.48,6.05,73.48,838,57.48,68.6,BUFFET,2,9,4.5,SUCO,,
85.99,1188,KG,81.49,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-09T14:14:58.000Z,Mesa 90,0,85.99,5.52,85.99,,,,,,,,,,
30.79,1,UN,3.5,3.5,AGUA,398,KG,27.3,68.6,BUFFET,2016-01-09T14:19:11.000Z,Mesa 95,0,30.8,2.78,30.8,,,,,,,,,,
32.62,1,UN,4.5,4.5,SUCO,0.41,KG,28.12,68.6,BUFFET,2016-01-09T14:20:08.000Z,Mesa 97,0,32.62,1.37,32.62,,,,,,,,,,
19.86,1,UN,4.5,4.5,SUCO,224,KG,15.36,68.6,BUFFET,2016-01-09T14:21:09.000Z,Mesa 96,0,19.86,0.84,19.86,,,,,,,,,,
82.38,1,UN,3.5,3.5,AGUA,1.15,KG,78.89,68.6,BUFFET,2016-01-09T14:24:16.000Z,Mesa 99,0,82.39,4.94,82.39,,,,,,,,,,
57.19,834,KG,57.21,68.6,BUFFET,,,,,,2016-01-11T11:57:51.000Z,Mesa 5,0,57.21,2.4,57.21,,,,,,,,,,
38.11,0.49,KG,33.61,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:01:50.000Z,Mesa 2,0,38.11,3.51,38.11,,,,,,,,,,
38.41,0.56,KG,38.41,68.6,BUFFET,,,,,,2016-01-11T12:10:06.000Z,Mesa 6,0,38.41,1.61,38.41,,,,,,,,,,
53.16,644,KG,44.17,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:22:08.000Z,Mesa 1,0,53.17,6.06,53.17,1,4.5,4.5,REFRIGERANTE,,,,,,
18.42,1,UN,1,1,CHA,254,KG,17.42,68.6,BUFFET,2016-01-11T12:22:52.000Z,Mesa 7,0,18.42,1.2,18.42,,,,,,,,,,
21.3,1,UN,1,1,CHA,296,KG,20.3,68.6,BUFFET,2016-01-11T12:23:40.000Z,Mesa 8,0,21.3,1.32,21.3,,,,,,,,,,
21.65,1,UN,4.5,4.5,SUCO,0.25,KG,17.15,68.6,BUFFET,2016-01-11T12:25:45.000Z,Mesa 9,0,21.65,0.91,21.65,,,,,,,,,,
23.8,1,UN,3.5,3.5,AGUA,296,KG,20.3,68.6,BUFFET,2016-01-11T12:26:18.000Z,Mesa 10,0,23.8,2.48,23.8,,,,,,,,,,
50.86,676,KG,46.37,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:41:56.000Z,Mesa 22,0,50.87,4.05,50.87,,,,,,,,,,
45.54,664,KG,45.55,68.6,BUFFET,,,,,,2016-01-11T12:52:22.000Z,Mesa 30,0,45.55,1.91,45.55,,,,,,,,,,
31.76,1,UN,3.5,3.5,AGUA,412,KG,28.26,68.6,BUFFET,2016-01-11T12:53:11.000Z,Mesa 25,0,31.76,2.82,31.76,,,,,,,,,,
48.54,642,KG,44.04,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:53:50.000Z,Mesa 19,0,48.54,3.95,48.54,,,,,,,,,,
47.99,634,KG,43.49,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:54:05.000Z,Mesa 23,0,47.99,3.93,47.99,,,,,,,,,,
37.83,486,KG,33.33,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T12:54:22.000Z,Mesa 24,0,37.83,3.5,37.83,,,,,,,,,,
48.61,1,UN,4.5,4.5,LIMONADA,1,UN,3.5,3.5,AGUA,2016-01-11T13:04:32.000Z,Mesa 43,0,48.61,3.53,48.61,592,40.61,68.6,BUFFET,,,,,,
27,1,UN,4.5,4.5,SUCO,328,KG,22.5,68.6,BUFFET,2016-01-11T13:05:01.000Z,Mesa 21,0,27,1.14,27,,,,,,,,,,
28.26,412,KG,28.26,68.6,BUFFET,,,,,,2016-01-11T13:05:21.000Z,Mesa 17,0,28.26,1.19,28.26,,,,,,,,,,
30.59,446,KG,30.59,68.6,BUFFET,,,,,,2016-01-11T13:05:32.000Z,Mesa 16,0,30.59,1.29,30.59,,,,,,,,,,
34.56,0.5,KG,34.56,68.6,BUFFET,,,,,,2016-01-11T13:05:42.000Z,Mesa 11,0,34.56,1.46,23.04,,,,,,,,,,
48.15,0.7,KG,48.15,68.6,BUFFET,,,,,,2016-01-11T13:05:50.000Z,Mesa 15,0,48.15,2.03,32.1,,,,,,,,,,
35.81,0.52,KG,35.81,68.6,BUFFET,,,,,,2016-01-11T13:05:59.000Z,Mesa 13,0,35.81,1.5,23.87,,,,,,,,,,
35.33,1,UN,3.5,3.5,AGUA,464,KG,31.83,68.6,BUFFET,2016-01-11T13:06:07.000Z,Mesa 14,0,35.33,2.97,35.33,,,,,,,,,,
34.4,436,KG,29.9,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:06:16.000Z,Mesa 18,0,34.4,3.36,34.4,,,,,,,,,,
30.94,1,UN,3.5,3.5,AGUA,0.4,KG,27.44,68.6,BUFFET,2016-01-11T13:08:09.000Z,Mesa 61,0,30.94,2.78,30.94,,,,,,,,,,
31.45,412,KG,28.26,68.6,BUFFET,1,UN,3.2,3.2,DOCINHOS,2016-01-11T13:11:37.000Z,Mesa 26,0,31.46,2.68,31.46,,,,,,,,,,
23.73,346,KG,23.73,68.6,BUFFET,,,,,,2016-01-11T13:11:46.000Z,Mesa 28,0,23.73,1,23.73,,,,,,,,,,
27.71,404,KG,27.71,68.6,BUFFET,,,,,,2016-01-11T13:12:03.000Z,Mesa 27,0,27.71,1.16,27.71,,,,,,,,,,
40.99,532,KG,36.49,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:14:52.000Z,Mesa 33,0,40.99,3.63,40.99,,,,,,,,,,
37.56,482,KG,33.06,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-11T13:15:37.000Z,Mesa 35,0,37.56,3.49,37.56,,,,,,,,,,
56.89,624,KG,42.8,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:27:50.000Z,Mesa 55,0,56.9,8.38,56.9,3,9.6,3.2,DOCINHOS,,,,,,
31.32,1,UN,1,1,CHA,442,KG,30.32,68.6,BUFFET,2016-01-11T13:28:02.000Z,Mesa 46,0,31.32,1.74,31.32,,,,,,,,,,
55.76,1,UN,3.5,3.5,AGUA,762,KG,52.27,68.6,BUFFET,2016-01-11T13:28:36.000Z,Mesa 40,0,55.77,3.83,55.77,,,,,,,,,,
9.74,142,KG,9.74,68.6,BUFFET,,,,,,2016-01-11T13:35:18.000Z,Mesa 75,0,9.74,0.41,9.74,,,,,,,,,,
12.07,176,KG,12.07,68.6,BUFFET,,,,,,2016-01-11T13:35:49.000Z,Mesa 73,0,12.07,0.51,12.07,,,,,,,,,,
26.75,0.39,KG,26.75,68.6,BUFFET,,,,,,2016-01-11T13:36:36.000Z,Mesa 58,0,26.75,1.12,26.75,,,,,,,,,,
25.93,378,KG,25.93,68.6,BUFFET,,,,,,2016-01-11T13:37:21.000Z,Mesa 59,0,25.93,1.09,25.93,,,,,,,,,,
62.59,1,UN,1,1,CHA,898,KG,61.6,68.6,BUFFET,2016-01-11T13:38:13.000Z,Mesa 60,0,62.6,3.06,62.6,,,,,,,,,,
80.33,1,UN,4.5,4.5,LIMONADA,1.04,KG,71.34,68.6,BUFFET,2016-01-11T13:40:13.000Z,Mesa 64,0,80.34,5.29,80.34,1,4.5,4.5,REFRIGERANTE,,,,,,
74.67,1,UN,3.5,3.5,AGUA,972,KG,66.67,68.6,BUFFET,2016-01-11T13:40:57.000Z,Mesa 47,0,74.67,6.53,74.67,1,4.5,4.5,CERVEJA,,,,,,
35.32,1,UN,3.5,3.5,AGUA,464,KG,31.83,68.6,BUFFET,2016-01-11T13:41:49.000Z,Mesa 44,0,35.33,2.97,35.33,,,,,,,,,,
43.18,564,KG,38.69,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:43:18.000Z,Mesa 53,0,43.19,3.72,43.19,,,,,,,,,,
23.76,1,UN,1,1,CHA,332,KG,22.77,68.6,BUFFET,2016-01-11T13:43:54.000Z,Mesa 67,0,23.77,1.43,23.77,,,,,,,,,,
45.03,1,UN,1,1,CHA,642,KG,44.04,68.6,BUFFET,2016-01-11T13:44:29.000Z,Mesa 76,0,45.04,2.32,45.04,,,,,,,,,,
21.54,314,KG,21.54,68.6,BUFFET,,,,,,2016-01-11T13:45:03.000Z,Mesa 72,0,21.54,0.9,21.54,,,,,,,,,,
25.49,306,KG,20.99,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:45:44.000Z,Mesa 71,0,25.49,2.98,25.49,,,,,,,,,,
23.94,1,UN,3.5,3.5,AGUA,298,KG,20.44,68.6,BUFFET,2016-01-11T13:46:16.000Z,Mesa 70,0,23.94,2.49,23.94,,,,,,,,,,
42.56,1,UN,12,12,SOBREMESA,0.38,KG,26.06,68.6,BUFFET,2016-01-11T13:48:02.000Z,Mesa 37,0,42.56,3.69,42.56,1,4.5,4.5,REFRIGERANTE,,,,,,
63.62,862,KG,59.13,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:48:48.000Z,Mesa 36,0,63.63,4.58,63.63,,,,,,,,,,
43.73,572,KG,39.23,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:49:32.000Z,Mesa 42,0,43.73,3.75,43.73,,,,,,,,,,
44.69,586,KG,40.19,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:50:38.000Z,Mesa 56,0,44.69,3.79,44.69,,,,,,,,,,
22.06,256,KG,17.56,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T13:51:09.000Z,Mesa 57,0,22.06,2.84,22.06,,,,,,,,,,
43.45,1,UN,3.5,3.5,AGUA,536,KG,36.76,68.6,BUFFET,2016-01-11T14:02:04.000Z,Mesa 68,0,43.46,4.66,43.46,1,3.2,3.2,DOCINHOS,,,,,,
136.08,1,UN,3.5,3.5,AGUA,1802,KG,123.61,68.6,BUFFET,2016-01-11T14:03:48.000Z,Mesa 69,0,136.11,11.02,136.11,2,9,4.5,REFRIGERANTE,,,,,,
108.17,1,UN,14.4,14.4,TEMAKI,1236,KG,84.78,68.6,BUFFET,2016-01-11T14:08:08.000Z,Mesa 78,0,108.18,8.36,108.18,1,4.5,4.5,REFRIGERANTE,1,4.5,4.5,REFRIGERANTE,,
33.61,0.49,KG,33.61,68.6,BUFFET,,,,,,2016-01-11T14:36:04.000Z,Mesa 82,0,33.61,1.41,33.61,,,,,,,,,,
39.47,0.51,KG,34.98,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-11T14:40:05.000Z,Mesa 80,0,39.48,3.57,39.48,,,,,,,,,,
23.01,1,UN,4.5,4.5,LIMONADA,0.27,KG,18.52,68.6,BUFFET,2016-01-11T14:40:40.000Z,Mesa 81,0,23.02,0.97,23.02,,,,,,,,,,
51.41,684,KG,46.92,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-11T14:45:13.000Z,Mesa 84,0,51.42,4.07,51.42,,,,,,,,,,
28.92,1,UN,3.5,3.5,AGUA,324,KG,22.22,68.6,BUFFET,2016-01-11T14:46:09.000Z,Mesa 86,0,28.92,4.05,28.92,1,3.2,3.2,DOCINHOS,,,,,,
57.59,774,KG,53.09,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T14:53:40.000Z,Mesa 85,0,57.59,4.33,57.59,,,,,,,,,,
53.33,712,KG,48.84,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T15:02:31.000Z,Mesa 88,0,53.34,4.15,53.34,,,,,,,,,,
21.4,312,KG,21.4,68.6,BUFFET,,,,,,2016-01-11T19:03:20.000Z,Mesa 7,0,21.4,0.9,21.4,,,,,,,,,,
52.4,764,KG,52.41,68.6,BUFFET,,,,,,2016-01-11T19:20:37.000Z,Mesa 6,0,52.41,2.2,52.41,,,,,,,,,,
24.69,0.36,KG,24.69,68.6,BUFFET,,,,,,2016-01-11T19:33:18.000Z,Mesa 17,0,24.69,1.04,24.69,,,,,,,,,,
30.52,1,UN,3.5,3.5,AGUA,394,KG,27.02,68.6,BUFFET,2016-01-11T19:35:31.000Z,Mesa 18,0,30.52,2.77,30.52,,,,,,,,,,
37.12,0.41,KG,28.12,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-11T19:48:53.000Z,Mesa 23,0,37.12,5.38,37.12,,,,,,,,,,
36.08,526,KG,36.08,68.6,BUFFET,,,,,,2016-01-11T19:49:57.000Z,Mesa 25,0,36.08,1.52,36.08,,,,,,,,,,
31.14,454,KG,31.14,68.6,BUFFET,,,,,,2016-01-11T19:57:09.000Z,Mesa 19,0,31.14,1.31,31.14,,,,,,,,,,
32.17,1,UN,3.5,3.5,AGUA,418,KG,28.67,68.6,BUFFET,2016-01-11T19:57:55.000Z,Mesa 99,0,32.17,2.83,32.17,,,,,,,,,,
55.32,1,UN,20.9,20.9,SAKE,502,KG,34.43,68.6,BUFFET,2016-01-11T20:00:30.000Z,Mesa 10,0,55.33,11.21,55.33,,,,,,,,,,
15.77,0.23,KG,15.77,68.6,BUFFET,,,,,,2016-01-11T20:01:00.000Z,Mesa 5,0,15.77,0.66,15.77,,,,,,,,,,
19.34,282,KG,19.34,68.6,BUFFET,,,,,,2016-01-11T20:03:18.000Z,Mesa 4,0,19.34,0.81,19.34,,,,,,,,,,
45.65,0.6,KG,41.16,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T20:03:32.000Z,Mesa 8,0,45.66,3.83,45.66,,,,,,,,,,
44.97,0.59,KG,40.47,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T20:03:49.000Z,Mesa 1,0,44.97,3.8,44.97,,,,,,,,,,
20.58,0.3,KG,20.58,68.6,BUFFET,,,,,,2016-01-11T20:05:43.000Z,Mesa 22,0,20.58,0.86,20.58,,,,,,,,,,
94.72,1,UN,1,1,CHA,1.32,KG,90.54,68.6,BUFFET,2016-01-11T20:07:37.000Z,Mesa 15,0,94.74,6.6,64.56,1,3.2,3.2,DOCINHOS,,,,,,
75.25,966,KG,66.26,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T20:08:37.000Z,Mesa 16,0,75.26,6.98,75.26,1,4.5,4.5,REFRIGERANTE,,,,,,
28.05,1,UN,3.5,3.5,AGUA,358,KG,24.55,68.6,BUFFET,2016-01-11T20:11:33.000Z,Mesa 21,0,28.05,2.66,28.05,,,,,,,,,,
26.58,1,UN,14.4,14.4,TEMAKI,112,KG,7.68,68.6,BUFFET,2016-01-11T20:11:56.000Z,Mesa 80,0,26.58,3.02,26.58,1,4.5,4.5,REFRIGERANTE,,,,,,
56.3,1,UN,3.5,3.5,AGUA,0.77,KG,52.82,68.6,BUFFET,2016-01-11T20:21:31.000Z,Mesa 27,0,56.32,3.85,56.32,,,,,,,,,,
44.85,654,KG,44.86,68.6,BUFFET,,,,,,2016-01-11T20:35:08.000Z,Mesa 24,0,44.86,1.88,44.86,,,,,,,,,,
83.4,1216,KG,83.41,68.6,BUFFET,,,,,,2016-01-11T20:37:06.000Z,Mesa 30,0,83.41,3.5,83.41,,,,,,,,,,
24.82,362,KG,24.83,68.6,BUFFET,,,,,,2016-01-11T20:41:28.000Z,Mesa 37,0,24.83,1.04,24.83,,,,,,,,,,
107.74,1132,KG,77.65,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T20:44:27.000Z,Mesa 35,0,107.75,17.32,107.75,2,25.6,12.8,CERVEJA,,,,,,
137.94,1,UN,21.6,21.6,SASHIMI,1,UN,3.5,3.5,AGUA,2016-01-11T20:46:12.000Z,Mesa 26,0,137.96,11.1,137.96,1514,103.86,68.6,BUFFET,1,4.5,4.5,REFRIGERANTE,1,4.5
47.32,0.69,KG,47.33,68.6,BUFFET,,,,,,2016-01-11T20:48:38.000Z,Mesa 53,0,47.33,1.99,47.33,,,,,,,,,,
37.86,552,KG,37.86,68.6,BUFFET,,,,,,2016-01-11T20:49:41.000Z,Mesa 55,0,37.86,1.59,37.86,,,,,,,,,,
36.05,0.46,KG,31.55,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T20:52:41.000Z,Mesa 36,0,36.05,3.43,36.05,,,,,,,,,,
104.91,1464,KG,100.43,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T21:05:16.000Z,Mesa 40,0,104.93,6.32,104.93,,,,,,,,,,
72.16,1052,KG,72.16,68.6,BUFFET,,,,,,2016-01-11T21:07:16.000Z,Mesa 63,0,72.16,3.03,72.16,,,,,,,,,,
34.16,498,KG,34.16,68.6,BUFFET,,,,,,2016-01-11T21:08:31.000Z,Mesa 57,0,34.16,1.43,34.16,,,,,,,,,,
90.6,1.19,KG,81.63,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T21:13:22.000Z,Mesa 44,0,90.63,7.63,90.63,1,4.5,4.5,REFRIGERANTE,,,,,,
132.28,1732,KG,118.81,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-11T21:15:10.000Z,Mesa 41,0,132.31,9.38,132.31,1,4.5,4.5,CERVEJA,1,4.5,4.5,SUCO,,
60.21,878,KG,60.23,68.6,BUFFET,,,,,,2016-01-11T21:15:22.000Z,Mesa 3,0,60.23,2.53,60.23,,,,,,,,,,
74.39,1,UN,3.5,3.5,AGUA,968,KG,66.4,68.6,BUFFET,2016-01-11T21:15:37.000Z,Mesa 2,0,74.4,6.52,74.4,1,4.5,4.5,REFRIGERANTE,,,,,,
30.39,1,UN,3.5,3.5,AGUA,392,KG,26.89,68.6,BUFFET,2016-01-11T21:26:08.000Z,Mesa 56,0,30.39,2.76,30.39,,,,,,,,,,
